"ZDB-GENE-980526-90","ascl1a","GO:0045893","","positive regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-091116-9","asxl1","GO:0006351","","transcription, DNA-templated","Danio rerio"
"ZDB-GENE-091116-9","asxl1","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-100412-1","asxl2","GO:0006351","","transcription, DNA-templated","Danio rerio"
"ZDB-GENE-100412-1","asxl2","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-030131-7003","atad2","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-030131-4334","atf1","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-030131-4334","atf1","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-030131-4334","atf1","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-030911-8","atf2","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-040426-728","atf3","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-040426-2340","atf4a","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-070928-23","atf4b","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-060526-205","atf5a","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-030131-2637","atf5b","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-041014-328","atf6","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-061103-166","atf6b","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-050721-2","atf7a","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-030131-3028","atf7b","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-990415-17","atoh1a","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-041201-1","atoh1b","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-090805-1","atoh1c","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-000926-1","atoh7","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-061215-7","atoh8","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-070412-1","atp1b4","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-060503-759","atxn1a","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-060503-759","atxn1a","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-060503-759","atxn1a","GO:0045892","","negative regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-061218-2","atxn1b","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-061218-2","atxn1b","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-061218-2","atxn1b","GO:0045892","","negative regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-090908-1","atxn1l","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-090908-1","atxn1l","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-030616-253","atxn7l3","GO:0045893","","positive regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-030616-253","atxn7l3","GO:0045893","","positive regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-060421-7601","bach1a","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
"ZDB-GENE-060421-7601","bach1a","GO:0006355","","regulation of transcription, DNA-templated","Danio rerio"
