"ZDB-GENE-040426-1711","amph","GO:0008021","","synaptic vesicle","Danio rerio","IBA"
"ZDB-GENE-040426-1711","amph","GO:0048488","","synaptic vesicle endocytosis","Danio rerio","IBA"
"ZDB-GENE-031112-8","ap3b1a","GO:0048490","","anterograde synaptic vesicle transport","Danio rerio","IBA"
"ZDB-GENE-050208-437","ap3d1","GO:0016182","","synaptic vesicle budding from endosome","Danio rerio","IBA"
"ZDB-GENE-050208-437","ap3d1","GO:0048490","","anterograde synaptic vesicle transport","Danio rerio","IBA"
"ZDB-GENE-050208-437","ap3d1","GO:0048499","","synaptic vesicle membrane organization","Danio rerio","IBA"
"ZDB-GENE-060526-175","apba1a","GO:0008021","","synaptic vesicle","Danio rerio","IEA"
"ZDB-GENE-121107-1","apba2a","GO:0008021","","synaptic vesicle","Danio rerio","IEA"
"ZDB-GENE-030131-5371","apba2b","GO:0008021","","synaptic vesicle","Danio rerio","IEA"
"ZDB-GENE-030131-4127","atp6v0cb","GO:0008021","","synaptic vesicle","Danio rerio","IDA"
"ZDB-GENE-000412-1","bdnf","GO:0008021","","synaptic vesicle","Danio rerio","IBA"
"ZDB-GENE-070912-715","bin1a","GO:0008021","","synaptic vesicle","Danio rerio","IBA"
"ZDB-GENE-030425-1","bin1b","GO:0008021","","synaptic vesicle","Danio rerio","IBA"
"ZDB-GENE-041010-83","borcs5","GO:0030672","","synaptic vesicle membrane","Danio rerio","IBA"
"ZDB-GENE-041010-83","borcs5","GO:1903744","","positive regulation of anterograde synaptic vesicle transport","Danio rerio","IBA"
"ZDB-GENE-030903-1","cadps2","GO:0016079","","synaptic vesicle exocytosis","Danio rerio","IEA"
"ZDB-GENE-030616-525","cadpsa","GO:0016079","","synaptic vesicle exocytosis","Danio rerio","IEA"
"ZDB-GENE-110621-2","cadpsb","GO:0016079","","synaptic vesicle exocytosis","Danio rerio","IEA"
"ZDB-GENE-010131-2","cdk5","GO:0048489","","synaptic vesicle transport","Danio rerio","IBA"
"ZDB-GENE-030131-1201","cel.1","GO:0048488","","synaptic vesicle endocytosis","Danio rerio","IBA"
"ZDB-GENE-061110-10","cel.2","GO:0048488","","synaptic vesicle endocytosis","Danio rerio","IBA"
"ZDB-GENE-030131-1699","clcn3","GO:0008021","","synaptic vesicle","Danio rerio","IBA"
"ZDB-GENE-030131-1699","clcn3","GO:0097401","","synaptic vesicle lumen acidification","Danio rerio","IBA"
"ZDB-GENE-040718-420","clrn1","GO:0036466","","synaptic vesicle recycling via endosome","Danio rerio","IMP"
"ZDB-GENE-040426-1986","clta","GO:0030672","","synaptic vesicle membrane","Danio rerio","IBA"
"ZDB-GENE-030131-4317","cops4","GO:0008021","","synaptic vesicle","Danio rerio","IEA"
"ZDB-GENE-040426-1686","cops5","GO:0008021","","synaptic vesicle","Danio rerio","IEA"
"ZDB-GENE-081113-1","cplx2","GO:0016079","","synaptic vesicle exocytosis","Danio rerio","IBA"
"ZDB-GENE-040718-160","cplx2l","GO:0016079","","synaptic vesicle exocytosis","Danio rerio","IBA"
"ZDB-GENE-090313-349","cplx3a","GO:0016079","","synaptic vesicle exocytosis","Danio rerio","IBA"
"ZDB-GENE-091204-403","cplx3b","GO:0016079","","synaptic vesicle exocytosis","Danio rerio","IBA"
"ZDB-GENE-060526-116","cplx4a","GO:0016079","","synaptic vesicle exocytosis","Danio rerio","IBA"
"ZDB-GENE-070705-157","cplx4b","GO:0016079","","synaptic vesicle exocytosis","Danio rerio","IBA"
"ZDB-GENE-101018-1","cplx4c","GO:0016079","","synaptic vesicle exocytosis","Danio rerio","IBA"
"ZDB-GENE-050420-170","dclk2a","GO:0008021","","synaptic vesicle","Danio rerio","IDA"
"ZDB-GENE-031007-6","dmxl2","GO:1901546","","regulation of synaptic vesicle lumen acidification","Danio rerio","IMP"
