"ZDB-GENE-040329-1","aanat1","GO:0007623","","circadian rhythm","Danio rerio","IBA"
"ZDB-GENE-991019-6","aanat2","GO:0007623","","circadian rhythm","Danio rerio","IBA"
"ZDB-GENE-991019-6","aanat2","GO:0007623","","circadian rhythm","Danio rerio","IDA"
"ZDB-GENE-991019-6","aanat2","GO:0007623","","circadian rhythm","Danio rerio","IGI"
"ZDB-GENE-991019-6","aanat2","GO:0045938","","positive regulation of circadian sleep/wake cycle, sleep","Danio rerio","IMP"
"ZDB-GENE-000509-1","arntl1a","GO:0007623","","circadian rhythm","Danio rerio","IGI"
"ZDB-GENE-000509-2","arntl2","GO:0007623","","circadian rhythm","Danio rerio","IGI"
"ZDB-GENE-030131-3133","bhlhe40","GO:0032922","","circadian regulation of gene expression","Danio rerio","IBA"
"ZDB-GENE-030131-3133","bhlhe40","GO:0032922","","circadian regulation of gene expression","Danio rerio","IDA"
"ZDB-GENE-050419-146","bhlhe41","GO:0032922","","circadian regulation of gene expression","Danio rerio","IBA"
"ZDB-GENE-040704-39","btbd9","GO:0048512","","circadian behavior","Danio rerio","IBA"
"ZDB-GENE-030131-7016","ciarta","GO:0032922","","circadian regulation of gene expression","Danio rerio","IBA"
"ZDB-GENE-030131-7016","ciarta","GO:0032922","","circadian regulation of gene expression","Danio rerio","IEA"
"ZDB-GENE-131127-285","ciartb","GO:0032922","","circadian regulation of gene expression","Danio rerio","IBA"
"ZDB-GENE-131127-285","ciartb","GO:0032922","","circadian regulation of gene expression","Danio rerio","IEA"
"ZDB-GENE-120928-5","cipca","GO:0042754","","negative regulation of circadian rhythm","Danio rerio","IEA"
"ZDB-GENE-091204-292","cipcb","GO:0042754","","negative regulation of circadian rhythm","Danio rerio","IEA"
"ZDB-GENE-990630-14","clocka","GO:0007623","","circadian rhythm","Danio rerio","IGI"
"ZDB-GENE-990630-14","clocka","GO:0007623","","circadian rhythm","Danio rerio","IGI"
"ZDB-GENE-990630-14","clocka","GO:0007623","","circadian rhythm","Danio rerio","IMP"
"ZDB-GENE-990630-14","clocka","GO:0032922","","circadian regulation of gene expression","Danio rerio","IBA"
"ZDB-GENE-990630-14","clocka","GO:0032922","","circadian regulation of gene expression","Danio rerio","IMP"
"ZDB-GENE-030408-2","clockb","GO:0007623","","circadian rhythm","Danio rerio","IGI"
"ZDB-GENE-030408-2","clockb","GO:0032922","","circadian regulation of gene expression","Danio rerio","IBA"
"ZDB-GENE-010426-2","cry1a","GO:0009649","","entrainment of circadian clock","Danio rerio","IDA"
"ZDB-GENE-010426-2","cry1a","GO:0032922","","circadian regulation of gene expression","Danio rerio","IBA"
"ZDB-GENE-010426-2","cry1a","GO:0043153","","entrainment of circadian clock by photoperiod","Danio rerio","IBA"
"ZDB-GENE-010426-3","cry1b","GO:0032922","","circadian regulation of gene expression","Danio rerio","IBA"
"ZDB-GENE-010426-3","cry1b","GO:0043153","","entrainment of circadian clock by photoperiod","Danio rerio","IBA"
"ZDB-GENE-010426-6","cry2","GO:0032922","","circadian regulation of gene expression","Danio rerio","IBA"
"ZDB-GENE-010426-6","cry2","GO:0043153","","entrainment of circadian clock by photoperiod","Danio rerio","IBA"
"ZDB-GENE-010426-4","cry3a","GO:0032922","","circadian regulation of gene expression","Danio rerio","IBA"
"ZDB-GENE-010426-4","cry3a","GO:0043153","","entrainment of circadian clock by photoperiod","Danio rerio","IBA"
"ZDB-GENE-010426-5","cry3b","GO:0032922","","circadian regulation of gene expression","Danio rerio","IBA"
"ZDB-GENE-010426-5","cry3b","GO:0043153","","entrainment of circadian clock by photoperiod","Danio rerio","IBA"
"ZDB-GENE-010426-7","cry4","GO:0032922","","circadian regulation of gene expression","Danio rerio","IBA"
"ZDB-GENE-010426-7","cry4","GO:0043153","","entrainment of circadian clock by photoperiod","Danio rerio","IBA"
"ZDB-GENE-010426-8","cry5","GO:0032922","","circadian regulation of gene expression","Danio rerio","IBA"
"ZDB-GENE-010426-8","cry5","GO:0032922","","circadian regulation of gene expression","Danio rerio","IBA"
"ZDB-GENE-010426-8","cry5","GO:0043153","","entrainment of circadian clock by photoperiod","Danio rerio","IBA"
"ZDB-GENE-030131-825","csnk1da","GO:0042752","","regulation of circadian rhythm","Danio rerio","IBA"
"ZDB-GENE-040426-2385","csnk1db","GO:0042752","","regulation of circadian rhythm","Danio rerio","IBA"
"ZDB-GENE-980526-320","egr1","GO:0032922","","circadian regulation of gene expression","Danio rerio","ISS"
"ZDB-GENE-991229-12","exorh","GO:0007623","NOT","circadian rhythm","Danio rerio","IDA"
"ZDB-GENE-991229-12","exorh","GO:0032922","","circadian regulation of gene expression","Danio rerio","IMP"
"ZDB-GENE-111013-3","fbxl17","GO:0043153","","entrainment of circadian clock by photoperiod","Danio rerio","IBA"
"ZDB-GENE-030912-5","fbxl3a","GO:0043153","","entrainment of circadian clock by photoperiod","Danio rerio","IBA"
"ZDB-GENE-041010-178","fbxl3b","GO:0043153","","entrainment of circadian clock by photoperiod","Danio rerio","IBA"
"ZDB-GENE-130530-598","fbxl3l","GO:0043153","","entrainment of circadian clock by photoperiod","Danio rerio","IBA"
"ZDB-GENE-051120-81","fbxl8","GO:0043153","","entrainment of circadian clock by photoperiod","Danio rerio","IBA"
"ZDB-GENE-041121-9","gna11b","GO:0009649","","entrainment of circadian clock","Danio rerio","ISS"
"ZDB-GENE-040324-1","hcrt","GO:0042746","","circadian sleep/wake cycle, wakefulness","Danio rerio","IMP"
"ZDB-GENE-070228-3","hcrtr2","GO:0022410","","circadian sleep/wake cycle process","Danio rerio","IEA"
